Code,Year,Name,Add_1,Add_2,Kind,Staple_food,Dong_name,Number
3150000,2008,수라한우,"서울특별시 강서구 양천로 364, 1~2층 (가양동, 1동)",서울특별시 강서구 가양동  106번지 1호  (지상 1~2층),한식,한정식,가양제1동,236633500
3150000,2013,이랜드파크수사강서점,"서울특별시 강서구 강서로56길 17, 9층 (등촌동, 강서NC백화점)",서울특별시 강서구 등촌동  689번지 0호  외 2필지 강서NC백화점 (지상 9층),일식,스시뷔페,등촌제3동,226679913
3150000,2015,삿뽀로등촌점(주)엔타스,"서울특별시 강서구 공항대로 347, (등촌동,(지상 2, 3층))","서울특별시 강서구 등촌동  664번지 13호  (지상 2, 3층)",일식,코스요리,등촌제3동,226586777
3150000,2013,리미니GD강서NC점,"서울특별시 강서구 강서로56길 17, 9층 (등촌동, 강서NC백화점)",서울특별시 강서구 등촌동  689번지 0호  외 2필지 강서NC백화점 (지상 9층),경양식,파스타&amp;amp;피자,등촌제3동,226679772
3150000,2012,두레버섯마을,"서울특별시 강서구 강서로5나길 83, 1층 (화곡동, 1동)",서울특별시 강서구 화곡동  912번지 1호  (지상 1층),한식,칼국수,화곡제1동,226088400
3150000,2013,애슐리 강서NC점,"서울특별시 강서구 강서로56길 17, 9층 (등촌동, 강서NC백화점)",서울특별시 강서구 등촌동  689번지 0호  외 2필지 강서NC백화점 (지상 9층),뷔페식,샐러드바,등촌제3동,226679804
3150000,2013,이랜드파크화유엔강서점,"서울특별시 강서구 강서로56길 17, 9층 (등촌동, 강서NC백화점)",서울특별시 강서구 등촌동  689번지 0호  외 2필지 강서NC백화점 (지상 9층),중국식,탕수육,등촌제3동,226679846
3150000,2015,카리브,"서울특별시 강서구 공항대로 271, 8층 (마곡동, 가양 1동 이천이프라자)",서울특별시 강서구 마곡동  723번지 2호  이천이프라자 (지상 8층),경양식,"스테이크, 파스타",가양제1동,236622400
3150000,2015,놀부부대찌개앤철판구이 김포롯데몰점,"서울특별시 강서구 하늘길 38, 지하2층 (방화동, 2동 김포공항롯데몰)",서울특별시 강서구 방화동  886번지  지하2층,한식,놀부부대찌개,방화제2동,261165007
3150000,2002,명태어장,"서울특별시 강서구 우장산로 121, 1층 (화곡동, 6동)",서울특별시 강서구 화곡동  1099번지 5호  (지상 1층),한식,명태.족발,화곡제6동,226975854
3150000,2008,발산역맛찬들왕소금구이,"서울특별시 강서구 강서로 375-7, 1~3층 (가양동, 1동)",서울특별시 강서구 마곡동  723번지  (지상 1~3층),한식,삼겹살,가양제1동,236615026
3150000,2008,화로구이,"서울특별시 강서구 강서로 374, 1~3층 (등촌동, 3동)",서울특별시 강서구 등촌동  673번지 0호  (지상 1~3층),한식,돼지갈비,등촌제3동,236633292
3150000,2015,포베이 강서점,"서울특별시 강서구 화곡로 398, 4층 (등촌동, 1동 홈플러스강서점)",서울특별시 강서구 등촌동  639번지 11호  홈플러스 강서점 (지상 4층),경양식,베트남쌀국수,등촌제1동,236630887
3150000,2008,공항칼국수&공항주물럭,"서울특별시 강서구 공항대로 6, 1~2층 (공항동)",서울특별시 강서구 공항동  434번지 2호  외 3필지 (지상 1~2층),한식,버섯칼국수,공항동,226649748
3150000,2007,다도해,"서울특별시 강서구 방화동로 10-1, 1층 (공항동)",서울특별시 강서구 공항동  48번지 19호  (지상 1층),일식,활어회,공항동,226610176
3150000,2009,등촌샤브칼국수,"서울특별시 강서구 강서로56가길 65, 2층 (등촌동, 3동)",서울특별시 강서구 등촌동  679번지 1호  2층,한식,칼국수,등촌제3동,226599318
3150000,2009,춘천전통69닭갈비,"서울특별시 강서구 송정로 64, 1층 (공항동)",서울특별시 강서구 공항동  53번지 26호  (지상 1층),한식,닭갈비,공항동,226634975
3150000,2014,고등애,"서울특별시 강서구 공항대로59가길 10, 1층 (등촌동, 1동)",서울특별시 강서구 등촌동  648번지 11호  (지상 1층),회집,고등어조림,등촌제1동,236622442
3150000,2008,강서복집,"서울특별시 강서구 공항대로59길 8, 1~2층 (등촌동, 3동)","서울특별시 강서구 등촌동  648번지  (등촌3동),1~2층",복어취급,복지리,등촌제1동,02  36616672
3150000,2008,(주)설농탕대가,"서울특별시 강서구 화곡로 416, 1층 (등촌동, 1동)",서울특별시 강서구 등촌동  628번지 5호  외 2필지 (지상 1층),한식,설렁탕,등촌제1동,236621556
3150000,2008,함흥본가,"서울특별시 강서구 화곡로 416, 1층 (등촌동, 1동 경기산업주식회사)",서울특별시 강서구 등촌동  628번지 5호  외 2필지 경기산업주식회사 (지상 1층),한식,냉면,등촌제1동,236621556
3150000,2014,(주)더벨즈,"서울특별시 강서구 양천로60길 19, 지하1층, 지상2층 (등촌동, 1동)","서울특별시 강서구 등촌동  630번지 6호  지하1층, 지상2층",한식,뷔페,등촌제1동,226648080
3150000,2015,계절밥상 강서홈플러스점,"서울특별시 강서구 화곡로 398, 3층 (등촌동, 1동 홈플러스강서점)",서울특별시 강서구 등촌동  639번지 11호  (지상 3층) 홈플러스강서점,한식,뷔페,등촌제1동,236612015
3150000,2009,지호한방삼계탕,"서울특별시 강서구 등촌로 69, 1층 (등촌동, 2동)",서울특별시 강서구 등촌동  566번지 20호  (지상 1층),한식,삼계탕,등촌제2동,226443995
3150000,2015,도쿄하나 등촌점,"서울특별시 강서구 공항대로 367, 2층 (등촌동, 3동 백제원도쿄오백년장어)",서울특별시 강서구 등촌동  661번지 12호  백제원도쿄오백년장어 (지상 2층),일식,생선회,등촌제3동,226680880
3150000,2008,맑은바닷가의나루터,"서울특별시 강서구 강서로54길 73, 2~3층 (등촌동, 3동)",서울특별시 강서구 등촌동  670번지 1호  (지상 2~3층),일식,모듬회,등촌제3동,236630067
3150000,2015,(주)엠에프지코리아 매드포갈릭 발산점,"서울특별시 강서구 공항대로 300, C동 2층 (내발산동, 우장산동)",서울특별시 강서구 내발산동  647번지 1호 C (지상2층),경양식,"스테이크, 파스타",우장산동,226590889
3150000,2008,초가집,"서울특별시 강서구 강서로5나길 50, 1층 104,106~107호 (화곡동, 1동 일성스카이빌)","서울특별시 강서구 화곡동  914번지 3호  외4필지 일성스카이빌 (지상 1층) 104,106,107호",한식,낙지철판,화곡제1동,226067747
3150000,2009,아리랑보쌈,"서울특별시 강서구 화곡로 112, 1층 (화곡동, 1동)",서울특별시 강서구 화곡동  1070번지 1호  (지상 1층),한식,보쌈,화곡제1동,226073126
3150000,2007,줄줄이한식부페,"서울특별시 강서구 강서로 27, 9층 901호 (화곡동, 1동 화곡심포니타워)",서울특별시 강서구 화곡동  898번지 1호  화곡심포니타워 (지상 9층)-901,뷔페식,부페,화곡제1동,226075333
3150000,2008,일석삼조버섯매운탕,"서울특별시 강서구 곰달래로 267, 1층 (화곡동, 4동)",서울특별시 강서구 화곡동  778번지 4호  (지상 1층),한식,버섯매운탕,화곡제4동,226458500
3150000,2002,양촌리,"서울특별시 강서구 화곡로 109, 1~2층 (화곡동, 3동)",서울특별시 강서구 화곡동  1069번지 3호  (지상 1층~2층),한식,"돼지갈비, 삼겹살",화곡제3동,226988592
3150000,2012,푸주도가니,"서울특별시 강서구 까치산로 183, 1~2층 (화곡동, 6동)",서울특별시 강서구 화곡동  1114번지 7호  (지상 1~ 2층),한식,도가니탕,화곡제6동,226063677
3150000,2002,팔도미락,"서울특별시 강서구 우장산로 123, 2층 (화곡동, 6동)",서울특별시 강서구 화곡동  1098번지 10호  (지상 2층),일식,낙지요리,화곡제6동,226077161
